exposure,age,low,central,high
166.20000000000002,25+,3.129302622680524,3.658053434809358,4.276146012512599
166.3,25+,3.129983411293216,3.6589581768393833,4.2773309569485125
166.4,25+,3.1306636390007534,3.659862200345444,4.278514995559435
166.5,25+,3.131343306551213,3.660765506250234,4.279698129462303
166.60000000000002,25+,3.132022414692072,3.6616680954758465,4.2808803597735166
166.70000000000002,25+,3.132700964170214,3.66256996894379,4.282061687608957
166.8,25+,3.133378955731927,3.663471127574977,4.28324211408398
166.9,25+,3.1340563901228964,3.6643715722897174,4.284421640313394
167,25+,3.1347332680882074,3.665271304007723,4.285600267411476
167.10000000000002,25+,3.1354095903723422,3.666170323648099,4.286777996491955
167.20000000000002,25+,3.136085357719178,3.6670686321293458,4.28795482866801
167.3,25+,3.13676057087198,3.667966230369348,4.289130765052266
167.4,25+,3.137435230573409,3.668863119285376,4.290305806756789
167.5,25+,3.138109337565512,3.6697592997940895,4.291479954893083
167.60000000000002,25+,3.1387828925897203,3.6706547728115178,4.292653210572077
167.70000000000002,25+,3.139455896386855,3.6715495392530744,4.293825574904136
167.8,25+,3.1401283496971133,3.672443600033543,4.294997048999042
167.9,25+,3.140800253260079,3.67333695606708,4.2961676339659975
168,25+,3.141471607814711,3.674229608267204,4.297337330913615
168.10000000000002,25+,3.1421424140993457,3.675121557546803,4.29850614094992
168.20000000000002,25+,3.1428126728516963,3.676012804818128,4.299674065182343
168.3,25+,3.1434823848088467,3.6769033509927818,4.300841104717711
168.4,25+,3.144151550707254,3.677793196981728,4.30200726066225
168.5,25+,3.1448201712827437,3.6786823436952822,4.303172534121576
168.60000000000002,25+,3.14548824727051,3.679570792043108,4.3043369262006905
168.70000000000002,25+,3.1461557794051127,3.6804585429342183,4.305500438003981
168.8,25+,3.146822768420474,3.681345597276969,4.306663070635214
168.9,25+,3.147489215049883,3.6822319559790593,4.307824825197527
169,25+,3.148155120025985,3.683117619947523,4.308985702793431
169.10000000000002,25+,3.1488204840807854,3.6840025900887334,4.3101457045248
169.20000000000002,25+,3.1494853079456475,3.684886867308395,4.31130483149287
169.3,25+,3.150149592351289,3.6857704525115422,4.312463084798234
169.4,25+,3.1508133380277834,3.68665334660254,4.313620465540845
169.5,25+,3.1514765457045546,3.687535550485076,4.314776974819997
169.60000000000002,25+,3.152139216110376,3.6884170650621577,4.315932613734331
169.70000000000002,25+,3.152801349973372,3.689297891236116,4.317087383381832
169.8,25+,3.1534629480210143,3.6901780299085982,4.318241284859822
169.9,25+,3.154124010980115,3.6910574819805624,4.319394319264951
170,25+,3.1547845395768377,3.691936248352282,4.320546487693203
170.10000000000002,25+,3.155444534536683,3.692814329923341,4.321697791239891
170.20000000000002,25+,3.1561039965844935,3.693691727592621,4.322848230999636
170.3,25+,3.1567629264444506,3.694568442258317,4.323997808066389
170.4,25+,3.157421324840074,3.6954444748179207,4.325146523533411
170.5,25+,3.1580791924942195,3.696319826168226,4.3262943784932695
170.60000000000002,25+,3.1587365301290777,3.697194497205321,4.327441374037842
170.70000000000002,25+,3.1593933384661685,3.698068488824584,4.328587511258305
170.8,25+,3.160049618226348,3.6989418019206903,4.329732791245134
170.9,25+,3.160705370129798,3.699814437387601,4.330877215088098
171,25+,3.161360594896034,3.700686396118568,4.332020783876261
171.10000000000002,25+,3.1620152932438916,3.70155767900612,4.333163498697966
171.20000000000002,25+,3.162669465891538,3.7024282869420744,4.334305360640848
171.3,25+,3.16332311355646,3.703298220817522,4.335446370791815
171.4,25+,3.1639762369554707,3.704167481522835,4.336586530237055
171.5,25+,3.1646288368047,3.7050360699476577,4.337725840062026
171.60000000000002,25+,3.165280913819603,3.705903986980908,4.338864301351457
171.70000000000002,25+,3.1659324687149484,3.706771233510774,4.3400019151893385
171.8,25+,3.166583502204823,3.707637810424709,4.341138682658926
171.9,25+,3.1672340150026312,3.7085037186094354,4.342274604842733
172,25+,3.167884007821088,3.709368958950934,4.343409682822524
172.10000000000002,25+,3.168533481372226,3.710233532334452,4.344543917679321
172.20000000000002,25+,3.1691824363673846,3.7110974396444902,4.345677310493386
172.3,25+,3.1698308735172165,3.711960681764809,4.34680986234423
172.4,25+,3.1704787935316823,3.712823259578421,4.347941574310606
172.5,25+,3.1711261971200497,3.7136851739675936,4.3490724474705
172.60000000000002,25+,3.1717730849908934,3.714546425813841,4.350202482901136
172.70000000000002,25+,3.172419457852092,3.7154070159979264,4.351331681678966
172.8,25+,3.17306531641083,3.71626694539986,4.35246004487967
172.9,25+,3.173710661373592,3.717126214898893,4.353587573578153
173,25+,3.174355493446164,3.71798482537352,4.35471426884854
173.10000000000002,25+,3.174999813333636,3.718842777701475,4.355840131764176
173.20000000000002,25+,3.175643621740389,3.719700072759725,4.3569651633976125
173.3,25+,3.1762869193701104,3.72055671142448,4.358089364820625
173.4,25+,3.176929706925778,3.721412694571177,4.359212737104183
173.5,25+,3.1775719851096653,3.722268023074487,4.360335281318473
173.60000000000002,25+,3.178213754623343,3.723122697808309,4.361456998532873
173.70000000000002,25+,3.1788550161676707,3.723976719645768,4.362577889815965
173.8,25+,3.1794957704428053,3.724830089459219,4.363697956235529
173.9,25+,3.1801360181481866,3.725682808120235,4.364817198858528
174,25+,3.180775759982549,3.726534876499614,4.365935618751123
174.10000000000002,25+,3.181414996643915,3.727386295467369,4.367053216978658
174.20000000000002,25+,3.1820537288295943,3.7282370658927375,4.368169994605659
174.3,25+,3.182691957236179,3.729087188644166,4.369285952695835
174.4,25+,3.1833296825595516,3.729936664589319,4.37040109231207
174.5,25+,3.183966905494873,3.7307854945950703,4.37151541451642
174.60000000000002,25+,3.184603626736593,3.731633679527506,4.372628920370118
174.70000000000002,25+,3.1852398469784395,3.732481220251919,4.373741610933563
174.8,25+,3.18587556691342,3.733328117632809,4.374853487266318
