GID,NAME_0,scenario,ISO3,estimate,Currency.Name,Currency.Code,cost.USD,cost.LCU,pop,cost.percap.USD,cost.perc
COD,Democratic Republic of the Congo,HSBC,COD,low,Congolese Franc,CDF,0.8104507002813979,1335.4283269407476,123109358.27763893,0.006583177035604813,1.2074433751147396e-5
TKM,Turkmenistan,HSBC,TKM,low,Turkmenistan New Manat,TMT,0.5250783523903757,1.8377742333663154,6985386.42173773,0.0751681182241245,1.0789730449999058e-5
KAZ,Kazakhstan,HSBC,KAZ,low,Tenge,KZT,1.3207277447789256,505.5049783492227,21225062.71246628,0.062224916018891775,6.394408334884535e-6
ARE,United Arab Emirates,HSBC,ARE,low,UAE Dirham,AED,1.9947317373444837,7.325652305397601,10216453.622036906,0.1952469820879766,4.529743143558047e-6
OMN,Oman,HSBC,OMN,low,Rial Omani,OMR,0.4086844385604056,0.15713916662647553,6312860.552137428,0.06473839160315872,4.1836794453048964e-6
BHR,Bahrain,HSBC,BHR,low,Bahraini Dinar,BHD,0.0719946120345937,0.027069974125007234,856338.8676787,0.08407257308050418,3.576950940149451e-6
IRN,Iran,HSBC,IRN,low,Iranian Rial,IRR,1.600255237627141,55036.75089572688,93879357.22286281,0.0170458691342363,3.0878459175165824e-6
RUS,Russia,HSBC,RUS,low,Russian Ruble,RUB,4.578586185674308,296.40713891232724,144030553.3941053,0.03178899252817629,2.7439797322572092e-6
QAT,Qatar,HSBC,QAT,low,Qatari Rial,QAR,0.43120608165714164,1.569590137231992,2927283.834223559,0.14730586648817945,2.2738796759153877e-6
AUS,Australia,HSBC,AUS,low,Australian Dollar,AUD,0.19336894903754814,0.2703684645442998,27558329.75417089,0.00701671511889367,1.277924872155299e-7
SAU,Saudi Arabia,HSBC,SAU,low,Saudi Riyal,SAR,0.09501170122894342,0.3562938796085381,40380689.97786451,0.0023528994002090108,1.0168193056366874e-7
MNP,Northern Mariana Islands,HSBC,MNP,low,US Dollar,USD,0,0,NA,NA,NA
PLW,Palau,HSBC,PLW,low,US Dollar,USD,0,0,NA,NA,NA
PRK,North Korea,HSBC,PRK,low,NA,NA,0,0,26546014.246751744,0,NA
TWN,Taiwan,HSBC,TWN,low,NA,NA,0,0,22529344.00024697,0,NA
YEM,Yemen,HSBC,YEM,low,Yemeni Rial,YER,0,0,36771690.80361693,0,NA
