"scenario","region_id","pop","estimate","Outcome","number","Pollutant","Cause","double_counted","AgeGrp","region_name","iso3","version","epi_version","calc_causes","pop_year","ref"
"scenario","BGD.2_1",26556597.3235152,"high","exac",-27539.1191519582,"PM25","Asthma",FALSE,"25+","Chittagong","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.2_1",26556597.3235152,"high","exac",-18754.3922712885,"PM25","Asthma",FALSE,"0-18","Chittagong","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.3_1",47650214.5644629,"central","YLLs",-1274425.49772577,"PM25","NCD.LRI",FALSE,"25+","Dhaka","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.3_1",47650214.5644629,"central","YLLs",-114732.647509422,"PM25","LRI.child",FALSE,"0-4","Dhaka","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.3_1",47650214.5644629,"central","YLDs",-24856.0346932077,"PM25","Stroke",FALSE,"25+","Dhaka","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.3_1",47650214.5644629,"central","YLDs",-46146.7366859785,"PM25","Diabetes",FALSE,"25+","Dhaka","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.3_1",47650214.5644629,"central","YLDs",-47403.6347773797,"PM25","COPD",FALSE,"25+","Dhaka","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.3_1",47650214.5644629,"central","Deaths",-56435.1118961545,"PM25","NCD.LRI",FALSE,"25+","Dhaka","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.3_1",47650214.5644629,"central","Deaths",-18350.8506228098,"PM25","IHD",TRUE,"25+","Dhaka","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.3_1",47650214.5644629,"central","Deaths",-15614.1905502474,"PM25","Stroke",TRUE,"25+","Dhaka","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.3_1",47650214.5644629,"central","Deaths",-6412.87325376099,"PM25","COPD",TRUE,"25+","Dhaka","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.3_1",47650214.5644629,"central","Deaths",-1296.48249995807,"PM25","LC",TRUE,"25+","Dhaka","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.3_1",47650214.5644629,"central","Deaths",-4371.73666397557,"PM25","LRI",TRUE,"25+","Dhaka","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.3_1",47650214.5644629,"central","Deaths.child",-1300.80343338907,"PM25","LRI.child",FALSE,"0-4","Dhaka","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.3_1",47650214.5644629,"central","Deaths",-2744.31986100045,"PM25","Diabetes",TRUE,"25+","Dhaka","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.3_1",47650214.5644629,"central","Absences",-56580991.7636528,"PM25","Absences",FALSE,"25+","Dhaka","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.3_1",47650214.5644629,"central","LBW",-142725.058108456,"PM25","LBW",FALSE,"Newborn","Dhaka","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.3_1",47650214.5644629,"central","PTB",-175037.299212808,"PM25","PTB",FALSE,"Newborn","Dhaka","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.3_1",47650214.5644629,"central","exac",-77113.543816986,"PM25","Asthma",FALSE,"25+","Dhaka","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.3_1",47650214.5644629,"central","exac",-66446.0933050755,"PM25","Asthma",FALSE,"0-18","Dhaka","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.3_1",47650214.5644629,"low","YLLs",-863033.788792909,"PM25","NCD.LRI",FALSE,"25+","Dhaka","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.3_1",47650214.5644629,"low","YLLs",-62302.0496871258,"PM25","LRI.child",FALSE,"0-4","Dhaka","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.3_1",47650214.5644629,"low","YLDs",-9812.18061550193,"PM25","Stroke",FALSE,"25+","Dhaka","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.3_1",47650214.5644629,"low","YLDs",-20203.4641845307,"PM25","Diabetes",FALSE,"25+","Dhaka","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.3_1",47650214.5644629,"low","YLDs",-20190.2365016439,"PM25","COPD",FALSE,"25+","Dhaka","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.3_1",47650214.5644629,"low","Deaths",-38763.3893812752,"PM25","NCD.LRI",FALSE,"25+","Dhaka","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.3_1",47650214.5644629,"low","Deaths",-13395.2434889398,"PM25","IHD",TRUE,"25+","Dhaka","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
"scenario","BGD.3_1",47650214.5644629,"low","Deaths",-6307.49665172694,"PM25","Stroke",TRUE,"25+","Dhaka","BGD","0.4.4","gbd2019","GEMM and GBD",2020,"0.4.4"
