"scenario","region_id","pollutant","pop","estimate","number","cause","outcome","double_counted","age_group","region_name","iso3","version","epi_version","calc_causes","pop_year","ref"
"scenario","BGD.2_1","PM25",26556597.3235152,"high",-9522.06508466359,"Stroke","YLDs",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"high",-6466.928673411,"Stroke","Deaths",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"high",-56275.7459897587,"Asthma.0to17","AsthmaERV",FALSE,"0-18","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"high",-58955.7442386671,"Asthma.18to99","AsthmaERV",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"high",-116511.804007118,"PTB","PTB",FALSE,"Newborn","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"high",-188884.901695713,"LBW","LBW",FALSE,"Newborn","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.2_1","PM25",26556597.3235152,"high",-36356287.6052184,"Absences","Absences",FALSE,"25+","Chittagong","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.3_1","PM25",47650214.5644629,"central",-135444.704272506,"LRI.child","YLLs",FALSE,"0-4","Dhaka","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.3_1","PM25",47650214.5644629,"central",-1515.83057668836,"LRI.child","Deaths.child",FALSE,"0-4","Dhaka","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.3_1","PM25",47650214.5644629,"central",-122650.767455158,"COPD","YLLs",FALSE,"25+","Dhaka","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.3_1","PM25",47650214.5644629,"central",-30709.7887579161,"COPD","YLDs",FALSE,"25+","Dhaka","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.3_1","PM25",47650214.5644629,"central",-6402.90355656136,"COPD","Deaths",FALSE,"25+","Dhaka","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.3_1","PM25",47650214.5644629,"central",-62614.6770291108,"Diabetes","YLDs",FALSE,"25+","Dhaka","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.3_1","PM25",47650214.5644629,"central",-3188.50054912662,"Diabetes","Deaths",FALSE,"25+","Dhaka","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.3_1","PM25",47650214.5644629,"central",-199942.141458876,"IHD","YLLs",FALSE,"25+","Dhaka","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.3_1","PM25",47650214.5644629,"central",-7395.25279518245,"IHD","Deaths",FALSE,"25+","Dhaka","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.3_1","PM25",47650214.5644629,"central",-14153.8600053733,"LC","YLLs",FALSE,"25+","Dhaka","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.3_1","PM25",47650214.5644629,"central",-535.992326174303,"LC","Deaths",FALSE,"25+","Dhaka","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.3_1","PM25",47650214.5644629,"central",-46084.3574231683,"LRI","YLLs",FALSE,"25+","Dhaka","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.3_1","PM25",47650214.5644629,"central",-2284.81618892697,"LRI","Deaths",FALSE,"25+","Dhaka","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.3_1","PM25",47650214.5644629,"central",-146991.94239227,"Stroke","YLLs",FALSE,"25+","Dhaka","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.3_1","PM25",47650214.5644629,"central",-8716.78223705154,"Stroke","YLDs",FALSE,"25+","Dhaka","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.3_1","PM25",47650214.5644629,"central",-6121.25026396703,"Stroke","Deaths",FALSE,"25+","Dhaka","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
"scenario","BGD.3_1","PM25",47650214.5644629,"central",-66446.0933050755,"Asthma.0to17","AsthmaERV",FALSE,"0-18","Dhaka","BGD","0.7.1","gbd2021","GBD only",2020,"0.7.1"
