scenario,iso3,region_id,region_name,estimate,Currency.Name,Currency.Code,cost.USD,cost.LCU,pop,cost.percap.USD,cost.perc
scenario1,COM,COM,Comoros,high,Comoro Franc,KMF,0,0,1097249.284676643,0,0
scenario1,CYP,CYP,Cyprus,high,Euro,EUR,0,0,594152.0304241419,0,0
scenario1,CZE,CZE,Czech Republic,high,Czech Koruna,CZK,0,0,11260319.804197531,0,0
scenario1,DEU,DEU,Germany,high,Euro,EUR,0,0,83164533.25511792,0,0
scenario1,DJI,DJI,Djibouti,high,Djibouti Franc,DJF,0,0,1194202.3794693202,0,0
scenario1,DNK,DNK,Denmark,high,Danish Krone,DKK,0,0,7252062.408619459,0,0
scenario1,DZA,DZA,Algeria,high,Algerian Dinar,DZD,0,0,19808676.24092221,0,0
scenario1,EGY,EGY,Egypt,high,Egyptian Pound,EGP,0,0,117744263.86412014,0,0
scenario1,ESP,ESP,Spain,high,Euro,EUR,0,0,104056.33303330958,0,0
scenario1,EST,EST,Estonia,high,Euro,EUR,0,0,1160254.668296466,0,0
scenario1,ETH,ETH,Ethiopia,high,Ethiopian Birr,ETB,0,0,121930251.56073064,0,0
scenario1,FIN,FIN,Finland,high,Euro,EUR,0,0,5712697.109822828,0,0
